duration,startDate,startStation,endDate,endStation,bike,subscription,,startPos,endPos
0h 6m 10s,10/15/2012 9:25:00,New Hampshire Ave & T St NW [formerly 16th & U St NW],10/15/2012 9:31:00,20th & O St NW / Dupont South,W00481,Subscriber,,38.91554:-77.03818:98.06925223097663,38.908905:-77.04478:5.379990418676794
0h 7m 46s,10/15/2012 9:25:00,North Capitol St & F St NW,10/15/2012 9:33:00,Metro Center / 12th & G St NW,W20875,Subscriber,,38.897446:-77.009888:33.10724318681378,38.898364:-77.027869:10.131369063133011
0h 8m 30s,10/15/2012 9:25:00,North Capitol St & F St NW,10/15/2012 9:33:00,Thomas Circle,W00304,Subscriber,,38.897446:-77.009888:33.10724318681378,38.9059:-77.0325:87.29941591534198
0h 11m 35s,10/15/2012 9:25:00,19th St & Constitution Ave NW,10/15/2012 9:36:00,Thomas Circle,W20166,Subscriber,,38.8923:-77.0436:28.267586247005305,38.9059:-77.0325:87.29941591534198
0h 10m 56s,10/15/2012 9:24:00,4th & M St SW,10/15/2012 9:35:00,Good Hope Rd & MLK Ave SE,W00259,Subscriber,,38.8767:-77.0178:2.120123600700363,38.867373:-76.988039:78.66755535530893
0h 11m 59s,10/15/2012 9:24:00,Columbus Circle / Union Station,10/15/2012 9:36:00,4th & M St SW,W20878,Subscriber,,38.89696:-77.00493:44.30198563043943,38.8767:-77.0178:2.120123600700363
0h 5m 22s,10/15/2012 9:24:00,19th St & Pennsylvania Ave NW,10/15/2012 9:30:00,17th & Rhode Island Ave NW,W00825,Subscriber,,38.9003:-77.0429:77.47903819820068,38.906602:-77.038785:95.2780204067158
0h 10m 17s,10/15/2012 9:24:00,17th & Corcoran St NW,10/15/2012 9:35:00,Metro Center / 12th & G St NW,W01067,Subscriber,,38.9121:-77.0387:10.021915253929913,38.898364:-77.027869:10.131369063133011
0h 10m 44s,10/15/2012 9:24:00,10th & U St NW,10/15/2012 9:35:00,20th St & Florida Ave NW,W01181,Subscriber,,38.9172:-77.0259:56.89066288103373,38.9154:-77.0446:2.194542440324043
0h 11m 33s,10/15/2012 9:24:00,1st & M St NE,10/15/2012 9:36:00,Thomas Circle,W01031,Subscriber,,38.9057:-77.0056:10.066673718983665,38.9059:-77.0325:87.29941591534198
0h 14m 32s,10/15/2012 7:52:00,8th & F St NW / National Portrait Gallery,10/15/2012 8:07:00,17th & K St NW [formerly 17th & L St NW],W20068,Subscriber,,38.897003:-77.022996:75.64089537270223,38.90276:-77.03863:82.23796582632403
0h 4m 7s,10/15/2012 7:52:00,4th & M St SW,10/15/2012 7:56:00,4th & E St SW,W20967,Subscriber,,38.8767:-77.0178:2.120123600700363,38.88412:-77.017445:25.217931222451952
0h 11m 38s,10/15/2012 7:52:00,North Capitol St & F St NW,10/15/2012 8:04:00,19th & E Street NW,W01290,Subscriber,,38.897446:-77.009888:33.10724318681378,38.8952:-77.0436:37.135873427596934
0h 18m 30s,10/15/2012 7:52:00,14th & V St NW,10/15/2012 8:11:00,5th St & K St NW,W01316,Subscriber,,38.9176:-77.0321:66.63283867035868,38.90304:-77.019027:24.695755218818082
0h 19m 3s,10/15/2012 7:52:00,Lamont & Mt Pleasant NW,10/15/2012 8:11:00,8th & H St NW,W00019,Subscriber,,38.9319:-77.0388:78.41949054594932,38.8997:-77.023086:50.458513601911925
0h 5m 7s,10/15/2012 7:52:00,New Hampshire Ave & T St NW [formerly 16th & U St NW],10/15/2012 7:57:00,17th & Rhode Island Ave NW,W00259,Subscriber,,38.91554:-77.03818:98.06925223097663,38.906602:-77.038785:95.2780204067158
0h 22m 13s,10/15/2012 7:52:00,North Capitol St & F St NW,10/15/2012 8:14:00,21st & I St NW,W00705,Subscriber,,38.897446:-77.009888:33.10724318681378,38.9008:-77.047:2.01921385090732
0h 6m 42s,10/15/2012 7:52:00,14th & V St NW,10/15/2012 7:59:00,17th & Corcoran St NW,W00106,Casual,,38.9176:-77.0321:66.63283867035868,38.9121:-77.0387:10.021915253929913
